count,function,id,label,is_selected
1,0,0,dryer,False
1,1,1,appliance,False
1,2,2,clothes_dryer,False
1,3,3,clothes_dryer,False
1,4,4,water_heater,False
1,0,5,beauty,False
1,1,6,appearance,False
1,2,7,pleasingness,False
1,3,8,glory,False
1,4,9,ugliness,False
1,0,10,fun,False
1,1,11,diversion,False
1,4,12,socializing,False
1,0,13,strange,False
1,1,14,unusualness,False
1,2,15,oddity,False
1,3,16,abnormality,False
1,4,17,weird,False
1,5,18,lamination,False
1,5,19,stove,False
1,5,20,comeliness,False
1,5,21,garishness,False
1,5,22,strangeness,False
1,5,23,hair_dryer,False
1,5,24,socialization,False
1,5,25,loveliness,False
1,5,26,cleanliness,False
1,5,27,oddness,False
1,5,28,distension,False
