count,function,id,label,is_selected
1,0,0,car,False
1,1,1,motor_vehicle,False
1,2,2,stock_car,False
1,3,3,minicar,True
1,4,4,gas,False
1,0,5,seat,False
1,1,6,space,True
1,2,7,perch,False
1,3,8,perch,False
1,4,9,seat,False
1,0,10,tire,False
1,1,11,hoop,False
1,2,12,wagon_tire,False
1,3,13,pneumatic_tire,False
1,4,14,tire,True
1,0,15,wheel,False
1,1,16,machine,False
1,2,17,nosewheel,False
1,3,18,gear,True
1,4,19,nosewheel,False
2,0,0,minicar,False
2,1,1,car,False
2,2,2,minicab,False
2,3,3,minicab,False
2,4,4,roadster,False
2,0,5,space,True
2,1,6,attribute,False
2,2,7,absolute_space,False
2,3,8,outer_space,False
2,4,9,spaceship,False
2,0,10,tire,True
2,1,11,hoop,False
2,2,12,pneumatic_tire,False
2,3,13,pneumatic_tire,False
2,4,14,flat_tire,False
2,0,15,gear,False
2,1,16,wheel,True
2,2,17,worm_gear,False
2,3,18,bevel_gear,False
2,4,19,rail,True
